Statistics,Tu/Tpi,Tv/Tpi,Tw/Tpi,Ta/Tpi,Tb/Tpi,Tc/Tpi,Td/Tpi,Te/Tpi,Tf/Tpi,(Tu-Ta)/Tpi,(Tv-Tb)/Tpi,Au/Asp,Av/Au,Aw/Au,Ab/Aa,Ac/Aa,Ad/Aa,Ae/Aa,Af/Aa,Ap2/Ap1,(Ac-Ab)/Aa,(Ad-Ab)/Aa,AGI,AGImod,AGIinf,AI,RIp1,RIp2,SC,IPAD
mean,0.15147638605884617,0.3777154696968946,0.6056573261972926,0.0644213507611929,0.22456998607028134,0.32339432274985436,0.32339432274985436,0.4787026428657417,0.7138578313966939,0.08706626595540515,0.1532040881946691,0.13511426865751322,-0.6477621254630249,0.055647368770766176,-1.259592846681698,-0.6412144904703861,-0.6412144904703861,0.5633491330637371,-0.14965833123830516,0.22257836849270882,0.6183783562113119,0.6183783562113119,-0.540512998804663,0.022836134259074225,-1.8229419797454351,-0.721918245075014,-0.046599642816102155,-0.046599642816102155,-0.025546048435911056,-0.11189892903356084
median,0.14864864864864896,0.3783783783783786,0.6052631578947385,0.06578947368421047,0.22666666666666346,0.32681134654818766,0.32681134654818766,0.47999999999999315,0.7199999999999983,0.09032634032634057,0.15233825597749667,0.13512516084242743,-0.6462477722952555,0.05363791707954413,-1.2457817188752311,-0.6749987246809933,-0.6749987246809933,0.5526624387409879,-0.14830329228608757,-0.15621862447343898,0.5485732006020019,0.5485732006020019,-0.4513294775974177,0.14601336431354317,-1.8019937753271191,-0.8055280831573415,0.006976555446066715,0.006976555446066715,-0.025517132528920315,0.03010857350918983
std,0.009784819483899952,0.010259597194661883,0.014285081979688535,0.01035543354253956,0.012385846108416768,0.0280737244342915,0.0280737244342915,0.011906691436455952,0.037261682608258906,0.0070744614486928275,0.011696677522231889,0.005968939216573638,0.04138479275911199,0.03144706432898117,0.08258041260395384,0.3075865621778496,0.3075865621778496,0.06160801377013725,0.040968443993283685,0.49289692608523855,0.27159303482288044,0.27159303482288044,0.573780191262679,0.5743909949220494,0.12845938840664708,0.44650087891419904,0.4569801426183499,0.4569801426183499,0.003718482026282062,1.3021595449851537
percentile_25,0.14473684210526302,0.3717948717948704,0.5974025974025977,0.05405405405405417,0.2159596305165921,0.2972972972972979,0.2972972972972979,0.472972972972974,0.688969813969815,0.07999999999999981,0.14473684210526386,0.13241313568429594,-0.6675283576856417,0.036619634903863066,-1.3165384843882095,-0.9317843456304513,-0.9317843456304513,0.5167380482423315,-0.17350828989568673,-0.2336768813971827,0.3763401446268904,0.3763401446268904,-1.0650913404981712,-0.49581688090852055,-1.9168960353759523,-1.1657922786286559,-0.20800375272574612,-0.20800375272574612,-0.026921889406025135,-0.2479894579351269
percentile_75,0.15999999999999773,0.3866666666666612,0.6133333333333392,0.06756756756756764,0.22972972972973024,0.3462820512820491,0.3462820512820491,0.48648648648648746,0.7432432432432449,0.09333333333333366,0.16000000000000153,0.1383968072316947,-0.6233460791792524,0.07282759959758257,-1.2021810407529492,-0.3502715995724107,-0.3502715995724107,0.6010830449787705,-0.1236023594171691,0.7219854324657455,0.8636731896672541,0.8636731896672541,-0.023216130205074133,0.5460293953034692,-1.726453550043145,-0.2757996905165563,0.10686488926839785,0.10686488926839785,-0.023605042960734606,0.3651884437951639
iqr,0.015263157894734702,0.0148717948717908,0.015930735930741458,0.013513513513513473,0.013770099213138154,0.04898475398475116,0.04898475398475116,0.013513513513513431,0.05427342927342982,0.01333333333333385,0.015263157894737672,0.005983671547398761,0.04418227850638923,0.03620796469371951,0.11435744363526035,0.5815127460580406,0.5815127460580406,0.08434499673643903,0.04990593047851763,0.9556623138629282,0.48733304504036373,0.48733304504036373,1.041875210293097,1.0418462762119898,0.19044248533280728,0.8899925881120996,0.314868641994144,0.314868641994144,0.0033168464452905284,0.6131779017302907
skew,0.509777539202516,0.17064897352415637,-0.2046313941821446,0.7358443078804657,0.33766326341888897,0.010158950456666323,0.010158950456666323,0.3716699879124616,-0.5741852190598699,-0.2616187515807329,0.018035859519445814,-2.6104575450029457,-0.8780844158175662,0.28981843899420817,-0.3303074417507418,0.17250982978060073,0.17250982978060073,0.6423853205562176,-0.463777218741347,0.10346983281611813,0.32847438060798506,0.32847438060798506,-0.22299513714875255,-0.2627767376740678,-0.3256938161837592,0.0901907080884654,5.70220645359026,5.70220645359026,-5.544836244843734,-2.939256094285023
kurtosis,0.3287550931446379,0.3395110662481433,0.07759132500066945,1.2915486518977932,0.2770857609991304,-0.8027949406914803,-0.8027949406914803,0.06387923046678434,-0.5023914838881978,-1.6416090648652808,-0.44426472550009777,21.574063463352,3.3067025067913685,2.589669145746612,-0.1647230941656881,-1.530490783095878,-1.530490783095878,0.6054476459279599,1.609622418954764,-1.8727613854580187,-1.1776696042393393,-1.1776696042393393,-1.3305730930951576,-1.4092587585004739,-0.21882695909262173,-1.8693846370491376,61.32640252034176,61.32640252034176,53.61072422347615,19.378625870402892
mad,0.008132822030814798,0.007946088194944958,0.011229772925752595,0.007637505786012174,0.009811433993551336,0.024193106593636767,0.024193106593636767,0.009396997990263738,0.030952121211807165,0.006709470631212152,0.009678935779066325,0.0039061765376099127,0.030587296508061385,0.023356157262095386,0.06659765458116523,0.285280018205839,0.285280018205839,0.04924308703469849,0.0314378700855999,0.48585119972024493,0.24370091256237575,0.24370091256237575,0.5226537909357277,0.5279668689015449,0.1039844819211525,0.43650645934861776,0.23574658247160657,0.23574658247160657,0.002189677141251379,0.662137215314269
